from,to
1,511
2,114
3,26
4,85
5,147
6,193
7,145
7,213
7,228
8,345
9,85
10,114
11,142
12,368
13,28
13,147
14,275
15,345
15,446
16,345
17,345
18,114
18,194
18,195
18,247
18,349
19,289
19,405
20,345
21,114
22,345
23,193
24,492
25,136
25,216
25,246
25,340
25,388
26,3
26,36
26,38
26,147
26,221
26,359
27,114
28,13
29,331
30,193
31,312
31,375
31,435
31,481
32,433
33,80
34,147
35,132
36,26
37,231
38,26
39,422
40,289
41,85
42,85
43,85
44,143
44,171
44,172
45,114
46,114
47,94
48,108
48,213
48,341
48,414
49,94
50,114
51,85
51,101
51,225
51,471
52,340
53,114
54,114
54,115
55,132
55,404
56,347
57,85
58,85
58,295
58,353
58,407
58,488
59,317
60,481
61,132
62,433
63,132
64,227
65,254
66,172
67,149
68,212
69,139
70,132
70,321
70,381
70,511
71,85
72,77
72,107
72,154
72,199
72,200
72,389
73,114
74,85
75,172
76,181
77,72
78,481
79,114
80,33
80,105
80,119
80,179
80,344
80,364
81,332
81,381
82,481
83,114
83,201
84,89
84,373
84,504
85,4
85,9
85,41
85,42
85,43
85,51
85,57
85,58
85,71
85,74
85,87
85,88
85,90
85,93
85,94
85,96
85,111
85,121
85,144
85,151
85,160
85,175
85,193
85,197
85,211
85,212
85,214
85,215
85,219
85,233
85,234
85,238
85,239
85,256
85,266
85,267
85,276
85,277
85,296
85,300
85,310
85,323
85,326
85,328
85,329
85,337
85,345
85,367
85,377
85,382
85,401
85,409
85,417
85,418
85,429
85,432
85,434
85,436
85,438
85,449
85,455
85,458
85,477
85,499
85,507
86,408
87,85
88,85
89,84
89,311
90,85
91,412
92,201
92,314
92,366
92,511
93,85
94,47
94,49
94,85
94,114
94,120
94,142
94,152
94,253
94,268
94,283
94,297
94,352
94,356
94,383
94,390
94,393
94,403
94,448
94,450
94,466
94,494
95,193
96,85
97,114
97,320
97,340
97,350
98,114
99,114
100,132
101,51
102,261
103,481
104,287
105,80
106,129
106,193
106,415
106,490
107,72
108,48
108,114
108,122
108,243
108,298
108,302
108,373
109,275
110,132
110,222
110,447
111,85
112,381
113,114
114,2
114,10
114,18
114,21
114,27
114,45
114,46
114,50
114,53
114,54
114,73
114,79
114,83
114,94
114,97
114,98
114,99
114,108
114,113
114,116
114,158
114,161
114,162
114,166
114,167
114,174
114,183
114,189
114,220
114,230
114,231
114,235
114,236
114,248
114,250
114,255
114,258
114,259
114,271
114,275
114,294
114,319
114,334
114,346
114,355
114,358
114,360
114,363
114,364
114,365
114,369
114,374
114,376
114,384
114,391
114,399
114,411
114,416
114,419
114,423
114,437
114,442
114,445
114,459
114,465
114,467
114,473
114,475
114,487
114,506
115,54
116,114
117,193
118,290
118,456
119,80
120,94
121,85
121,338
122,108
123,497
124,241
124,381
124,464
125,212
126,304
126,458
127,246
128,327
129,106
130,433
131,227
132,35
132,55
132,61
132,63
132,70
132,100
132,110
132,185
