sequence_id,name
1,Thailand
2,Mexico
3,Zimbabwe
4,Taiwan
5,India
6,Mexico
7,Guinea
8,Brazil
9,Taiwan
10,United States
11,United States
12,Rwanda
13,Zimbabwe
14,United States
15,Taiwan
16,United States
17,South Africa
18,Brazil
19,China
20,Spain
21,Mexico
22,Brazil
23,Brazil
24,South Africa
25,Taiwan
26,Zimbabwe
27,Brazil
28,Brazil
29,China
30,Mexico
31,Zimbabwe
32,Brazil
33,Uganda
34,South Africa
35,United States
36,South Africa
37,Mexico
38,Zimbabwe
39,Canada
40,China
41,Brazil
42,United States
43,United States
44,Cameroon
45,United States
46,Taiwan
47,Mexico
48,Nigeria
49,France
50,Brazil
51,Canada
52,China
53,United States
54,Mexico
55,Cameroon
56,Mexico
57,United States
58,Canada
59,Mexico
60,Zimbabwe
61,Thailand
62,United States
63,Thailand
64,China
65,Iran
66,Italy
67,China
68,United States
69,Mexico
70,Vietnam
71,Morocco
72,Uganda
73,United States
74,Taiwan
75,Niger
76,Zimbabwe
77,Uganda
78,Zimbabwe
79,Mexico
80,Kenya
81,China
82,Zimbabwe
83,Vietnam
84,Nigeria
85,Taiwan
86,China
87,United States
88,United States
89,Nigeria
90,United States
91,Brazil
92,Vietnam
93,Brazil
94,Mexico
95,Mexico
96,Mexico
97,China
98,Brazil
99,Brazil
100,Thailand
101,Brazil
102,Nigeria
103,Zimbabwe
104,Thailand
105,Uganda
106,Canada
107,Uganda
108,Nigeria
109,Brazil
110,Thailand
111,Venezuela
112,Thailand
113,France
114,Brazil
115,Italy
116,Mexico
117,United States
118,Nigeria
119,Uganda
120,Iran
121,Mexico
122,Nigeria
123,Niger
124,China
125,Mexico
126,Taiwan
127,Taiwan
128,Kenya
129,United States
130,Brazil
131,China
132,China
133,Kenya
134,South Africa
135,United States
136,Taiwan
137,Zimbabwe
138,Guinea
139,United States
140,France
141,Uganda
142,Mexico
143,Cameroon
144,United States
145,Benin
146,United States
147,Zimbabwe
148,United States
149,China
150,Morocco
151,United States
152,Mexico
153,Mexico
154,Australia
