from,to
1,2
3,2
1,4
3,4
5,4
6,7
8,7
9,10
3,10
6,10
1,11
6,11
12,11
13,14
8,14
15,14
1,16
3,16
12,16
1,17
3,17
6,17
9,18
1,18
6,18
1,19
3,19
5,19
1,20
3,20
6,20
1,21
3,21
5,21
1,22
3,22
15,22
1,23
3,23
5,23
1,24
6,24
8,24
3,25
15,25
5,25
9,26
6,26
27,26
1,28
3,28
29,28
9,30
3,30
6,30
1,31
3,31
32,31
1,33
3,33
15,33
9,34
3,34
6,34
1,35
3,35
32,35
6,36
32,36
9,37
3,37
6,37
1,38
15,38
5,38
1,39
3,39
5,39
3,40
15,40
32,40
1,41
3,41
5,41
9,42
3,42
6,42
1,43
3,43
8,43
9,44
6,44
27,44
3,45
15,45
32,45
9,46
3,46
6,46
1,47
15,47
27,47
1,48
3,48
5,48
3,49
27,49
32,49
9,50
1,50
3,50
1,51
3,51
5,51
6,52
15,52
53,52
15,54
53,54
6,55
27,55
56,55
1,57
3,57
8,57
1,58
15,58
9,59
3,59
27,59
1,60
61,60
12,60
9,62
3,62
6,62
3,63
27,63
32,63
1,64
3,64
5,64
9,65
6,65
27,65
6,66
1,67
6,67
68,67
1,69
3,69
32,69
1,70
3,70
5,70
6,71
15,71
32,71
3,72
6,72
27,72
6,73
53,73
3,74
5,74
12,74
1,75
3,75
1,76
6,76
8,76
15,77
61,77
53,77
1,78
61,78
12,78
1,79
61,79
5,79
1,80
3,80
32,80
6,81
68,81
1,82
6,82
8,82
1,83
3,83
32,83
1,84
5,84
1,85
5,85
1,86
8,86
12,86
15,87
5,87
12,87
1,88
6,88
8,88
1,89
3,89
6,89
9,90
3,90
6,90
3,91
6,91
61,91
6,92
1,93
6,93
8,93
1,94
3,94
5,94
1,95
3,95
5,95
6,96
53,96
5,96
15,97
32,97
29,97
1,98
3,98
5,98
6,99
1,100
3,100
15,100
15,101
61,101
12,101
6,102
53,102
6,103
6,104
15,104
9,105
3,105
27,105
1,106
3,106
6,106
1,107
15,107
108,107
6,109
53,109
1,110
8,110
12,110
1,111
3,111
5,111
6,112
27,112
32,112
1,113
3,113
15,113
3,114
6,114
27,114
1,115
8,115
5,115
1,116
32,116
5,116
6,117
53,117
8,118
15,118
12,118
15,119
32,119
53,119
1,120
3,120
5,120
6,121
53,121
5,121
1,122
3,122
12,122
13,123
15,123
1,124
3,124
5,124
9,125
3,125
15,125
1,126
3,126
32,126
1,127
3,127
61,127
1,128
8,128
15,128
1,129
6,129
8,129
1,130
6,130
12,130
15,131
53,131
1,132
3,132
8,132
1,133
3,133
8,133
1,134
15,134
12,134
15,135
61,135
12,135
6,136
15,136
53,136
3,137
5,137
12,137
1,138
3,138
15,138
15,139
140,139
6,141
15,141
68,141
1,142
1,143
12,143
1,144
6,144
1,145
5,145
6,146
8,146
1,147
3,147
15,147
6,148
61,149
12,149
15,150
32,150
53,150
1,151
12,151
1,152
15,152
68,152
1,153
6,153
8,153
