week,day_of_week,hour,n
2015-08-09T00:00:00Z,1,01,1
2015-08-16T00:00:00Z,1,01,3
2015-08-23T00:00:00Z,1,01,1
2015-08-30T00:00:00Z,1,01,2
2015-09-13T00:00:00Z,1,01,4
2015-09-20T00:00:00Z,1,01,8
2015-09-27T00:00:00Z,1,01,7
2015-10-04T00:00:00Z,1,01,4
2015-10-11T00:00:00Z,1,01,7
2015-10-18T00:00:00Z,1,01,3
2015-10-25T00:00:00Z,1,01,12
2015-11-01T00:00:00Z,1,01,8
2015-11-08T00:00:00Z,1,01,8
2015-11-15T00:00:00Z,1,01,8
2015-11-22T00:00:00Z,1,01,8
2015-11-29T00:00:00Z,1,01,3
2015-12-06T00:00:00Z,1,01,5
2015-12-13T00:00:00Z,1,01,8
2015-12-20T00:00:00Z,1,01,5
2015-12-27T00:00:00Z,1,01,5
2016-01-03T00:00:00Z,1,01,11
2016-01-10T00:00:00Z,1,01,5
2016-01-17T00:00:00Z,1,01,6
2016-01-24T00:00:00Z,1,01,4
2016-01-31T00:00:00Z,1,01,9
2016-02-07T00:00:00Z,1,01,6
2016-02-14T00:00:00Z,1,01,19
2016-02-21T00:00:00Z,1,01,5
2016-02-28T00:00:00Z,1,01,9
2016-03-06T00:00:00Z,1,01,8
2016-03-13T00:00:00Z,1,01,11
2016-03-20T00:00:00Z,1,01,12
2016-03-27T00:00:00Z,1,01,7
2016-04-03T00:00:00Z,1,01,5
2016-04-10T00:00:00Z,1,01,7
2016-04-17T00:00:00Z,1,01,8
2016-04-24T00:00:00Z,1,01,10
2016-05-01T00:00:00Z,1,01,8
2016-05-08T00:00:00Z,1,01,8
2016-05-15T00:00:00Z,1,01,7
2016-05-22T00:00:00Z,1,01,7
2016-05-29T00:00:00Z,1,01,9
2016-06-05T00:00:00Z,1,01,9
2016-06-12T00:00:00Z,1,01,4
2016-06-19T00:00:00Z,1,01,11
2016-06-26T00:00:00Z,1,01,6
2016-07-03T00:00:00Z,1,01,6
2016-07-10T00:00:00Z,1,01,6
2016-07-17T00:00:00Z,1,01,4
2016-07-24T00:00:00Z,1,01,7
2016-07-31T00:00:00Z,1,01,11
2016-08-07T00:00:00Z,1,01,14
2016-08-14T00:00:00Z,1,01,11
2016-08-21T00:00:00Z,1,01,16
2016-08-28T00:00:00Z,1,01,20
2016-09-04T00:00:00Z,1,01,24
2016-09-11T00:00:00Z,1,01,18
2016-09-18T00:00:00Z,1,01,13
2016-09-25T00:00:00Z,1,01,11
2016-10-02T00:00:00Z,1,01,15
2016-10-09T00:00:00Z,1,01,10
2016-10-16T00:00:00Z,1,01,6
2016-10-23T00:00:00Z,1,01,10
2016-10-30T00:00:00Z,1,01,13
2016-11-06T00:00:00Z,1,01,14
2016-11-13T00:00:00Z,1,01,23
2016-11-20T00:00:00Z,1,01,13
2016-11-27T00:00:00Z,1,01,11
2016-12-04T00:00:00Z,1,01,10
2016-12-11T00:00:00Z,1,01,17
2016-12-18T00:00:00Z,1,01,19
2016-12-25T00:00:00Z,1,01,12
2017-01-01T00:00:00Z,1,01,24
2017-01-08T00:00:00Z,1,01,16
2017-01-15T00:00:00Z,1,01,11
2017-01-22T00:00:00Z,1,01,10
2017-01-29T00:00:00Z,1,01,8
2017-02-05T00:00:00Z,1,01,10
2017-02-12T00:00:00Z,1,01,16
